Environment,Model,R2,AIC,BIC,Params
gain_05,Step,0.5029773121278361,-180.17866407883298,-176.70332484226626,"[np.float64(0.6778), np.float64(10.0)]"
gain_05,Logistic,0.8629251885973127,-232.27923490847698,-227.06622605362688,"[np.float64(0.102), np.float64(0.4421), np.float64(0.13)]"
gain_05,Gompertz,0.8626865060832413,-232.20616570016793,-226.99315684531783,"[np.float64(0.3557), np.float64(1.2616), np.float64(0.1221)]"
gain_05,Hill,0.8555290886123172,-230.07207877158567,-224.85906991673556,"[np.float64(0.567), np.float64(9.0784), np.float64(2.0672)]"
gain_06,Step,0.39529278321281713,-209.0340245422787,-205.55868530571198,"[np.float64(0.8648), np.float64(10.0)]"
gain_06,Logistic,0.9615223694310268,-322.73005338711454,-317.51704453226444,"[np.float64(0.2932), np.float64(0.0), np.float64(0.3986)]"
gain_06,Gompertz,0.9668366032089849,-328.9725254340035,-323.7595165791534,"[np.float64(0.0), np.float64(0.4449), np.float64(0.3186)]"
gain_06,Hill,0.9642428935394716,-325.80983009074527,-320.59682123589516,"[np.float64(0.6356), np.float64(2.295), np.float64(1.6619)]"
gain_07,Step,0.4497874350495984,-299.1320315428423,-295.65669230627554,"[np.float64(0.9489), np.float64(10.0)]"
gain_07,Logistic,0.8667784443735715,-356.70025821530317,-351.48724936045306,"[np.float64(0.7471), np.float64(0.0), np.float64(0.5421)]"
gain_07,Gompertz,0.884358121465047,-362.64390553371163,-357.43089667886153,"[np.float64(0.0), np.float64(0.1371), np.float64(0.39)]"
gain_07,Hill,0.8963530544717772,-367.2432328122343,-362.0302239573842,"[np.float64(0.867), np.float64(1.3639), np.float64(1.3402)]"
