Metric,Pair,Margin,p_raw,p_adj,Equivalent
relative_drop,20 vs 100,0.05,7.462364643228707e-06,1.4924729286457414e-05,True
relative_drop,20 vs 300,0.05,1.4434075785083792e-06,4.330222735525137e-06,True
relative_drop,20 vs 500,0.05,1.5896320532427e-05,1.5896320532427e-05,True
recovery_time,20 vs 100,50.0,4.8786960467975575e-112,9.757392093595115e-112,True
recovery_time,20 vs 300,50.0,0.0,0.0,True
recovery_time,20 vs 500,50.0,2.867585517347644e-10,2.867585517347644e-10,True
recovery_slope,20 vs 100,0.05,0.0,0.0,True
recovery_slope,20 vs 300,0.05,0.0,0.0,True
recovery_slope,20 vs 500,0.05,0.0,0.0,True
recovery_auc,20 vs 100,0.02,0.0028589873631210713,0.008576962089363213,True
recovery_auc,20 vs 300,0.02,0.01930743757606808,0.03861487515213616,True
recovery_auc,20 vs 500,0.02,0.047876399285015574,0.047876399285015574,True
