Batch 0015 (Offline Replay Capacity Sweep) Summary
================================================

--- Constraint Set: gain_04 ---
Experiment         | Surv(Mean) | InvRate/1k | 1st_Inv  | Lat(Mean) | Q(inv)   | Q(rest)  | dQ       | Inv(Std) | Inv(Med) | Inv(IQR) | ReplayRatio
---------------------------------------------------------------------------------------------------------------------------------------------------
E015_Replay_b000   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.1      | 0.1      | 0.000      
E015_Online_b000   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.0      | 0.0      | 0.1      | 0.000      
E015_Replay_b002   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.0      | 0.1      | 0.000      
E015_Online_b002   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.0      | 0.1      | 0.000      
E015_Replay_b004   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.0      | 0.1      | 0.1      | 0.000      
E015_Online_b004   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.0      | 0.1      | 0.000      
E015_Replay_b008   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.1      | 0.1      | 0.000      
E015_Online_b008   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.0      | 0.0      | 0.0      | 0.000      
E015_Replay_b016   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.1      | 0.1      | 0.000      
E015_Online_b016   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.0      | 0.0      | 0.0      | 0.000      
E015_Replay_b032   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.1      | 0.1      | 0.000      
E015_Online_b032   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.1      | 0.1      | 0.000      
E015_Replay_b064   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.0      | 0.1      | 0.1      | 0.000      
E015_Online_b064   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.0      | 0.1      | 0.1      | 0.000      
E015_Replay_b128   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.0      | 0.0      | 0.1      | 0.000      
E015_Online_b128   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.0      | 0.0      | 0.1      | 0.000      

--- Constraint Set: gain_05 ---
Experiment         | Surv(Mean) | InvRate/1k | 1st_Inv  | Lat(Mean) | Q(inv)   | Q(rest)  | dQ       | Inv(Std) | Inv(Med) | Inv(IQR) | ReplayRatio
---------------------------------------------------------------------------------------------------------------------------------------------------
E015_Replay_b000   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.0      | 0.1      | 0.000      
E015_Online_b000   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.0      | 0.1      | 0.000      
E015_Replay_b002   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.1      | 0.1      | 0.000      
E015_Online_b002   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.1      | 0.1      | 0.000      
E015_Replay_b004   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.0      | 0.1      | 0.1      | 0.000      
E015_Online_b004   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.1      | 0.1      | 0.000      
E015_Replay_b008   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.1      | 0.1      | 0.000      
E015_Online_b008   | 10000.0    | 0.0        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.0      | 0.1      | 0.000      
E015_Replay_b016   | 10000.0    | 0.1        | 0.0      | 0.0       | 0.00     | 0.00     | 0.00     | 0.1      | 0.0      | 0.2      | 0.000      
